date,a_o,mes,consumos_entre_el_1_y_el,consumos_entre_el_16_y_el,total,source_correction_month,positive_spike_month,partial_year
2019-01-01,2019,Enero,360.0,5916.0,6276.0,False,False,False
2019-02-01,2019,Febrero,3306.0,4749.0,8055.0,False,False,False
2019-03-01,2019,Marzo,440.0,6087.0,6527.0,False,False,False
2019-04-01,2019,Abril,3602.0,4543.0,8145.0,False,False,False
2019-05-01,2019,Mayo,2684.0,5976.0,8660.0,False,False,False
2019-06-01,2019,Junio,2640.0,6246.0,8886.0,False,False,False
2019-07-01,2019,Julio,440.0,7641.0,8081.0,False,False,False
2019-08-01,2019,Agosto,2880.0,5947.0,8827.0,False,False,False
2019-09-01,2019,Septiembre,520.0,8947.0,9467.0,False,False,False
2019-10-01,2019,Octubre,1206.0,10557.0,11763.0,False,False,False
2019-11-01,2019,Noviembre,4644.0,8543.0,13187.0,False,False,False
2019-12-01,2019,Diciembre,6233.0,13327.0,19559.0,False,False,False
2020-01-01,2020,Enero,3952.0,11967.0,15919.0,False,False,False
2020-02-01,2020,Febrero,6280.0,8495.0,14775.0,False,False,False
2020-03-01,2020,Marzo,5173.0,8702.0,13875.0,False,False,False
2020-04-01,2020,Abril,2500.0,5290.0,7790.0,False,False,False
2020-05-01,2020,Mayo,3350.0,6913.0,10263.0,False,False,False
2020-06-01,2020,Junio,1280.0,151050.0,152330.0,False,True,False
2020-07-01,2020,Julio,-142165.0,6078.0,-136087.0,True,False,False
2020-08-01,2020,Agosto,1540.0,6290.0,7830.0,False,False,False
2020-09-01,2020,Septiembre,2460.0,213663.0,216123.0,False,True,False
2020-10-01,2020,Octubre,-203350.0,7825.0,-195525.0,True,False,False
2020-11-01,2020,Noviembre,2163.0,11761.0,13924.0,False,False,False
2020-12-01,2020,Diciembre,5862.0,30642.0,36504.0,False,False,False
2021-01-01,2021,Enero,11473.0,16679.0,28152.0,False,False,False
2021-02-01,2021,Febrero,5230.0,7607.0,12837.0,False,False,False
2021-03-01,2021,Marzo,2990.0,8730.0,11720.0,False,False,False
2021-04-01,2021,Abril,4950.0,5577.0,10527.0,False,False,False
2021-05-01,2021,Mayo,2775.0,6780.0,9555.0,False,False,False
2021-06-01,2021,Junio,4260.0,6981.0,11241.0,False,False,False
2021-07-01,2021,Julio,5760.0,7119.0,12879.0,False,False,False
2021-08-01,2021,Agosto,1320.0,250.0,1570.0,False,False,False
2021-09-01,2021,Septiembre,3610.0,8624.0,12234.0,False,False,False
2021-10-01,2021,Octubre,1520.0,710.0,2230.0,False,False,False
2021-11-01,2021,Noviembre,3160.0,8878.0,12038.0,False,False,False
2021-12-01,2021,Diciembre,5097.0,9875.0,14972.0,False,False,False
2022-01-01,2022,Enero,5620.0,8396.0,14016.0,False,False,False
2022-02-01,2022,Febrero,1000.0,465.0,1465.0,False,False,False
2022-03-01,2022,Marzo,4360.0,11299.0,15659.0,False,False,False
2022-04-01,2022,Abril,6453.0,11434.0,17887.0,False,False,False
2022-05-01,2022,Mayo,6927.0,12196.0,19122.0,False,False,False
2022-06-01,2022,Junio,7010.0,9956.0,16966.0,False,False,False
2022-07-01,2022,Julio,10215.0,12390.0,22605.0,False,False,False
