objectid,comuna,barrio,codigo_barrio,manzana,estrato,fecha_sincronizacion,st_area(shape),st_perimeter(shape)
1,11,06,1106,,5,1778724905000,25918.293962293945,3543.992872664562
2,13,01,1301,,1,1778724905000,40471.15396557922,14338.287836156596
3,05,12,0512,,2,1778724905000,76352.82983003272,7041.723085431495
4,10,17,1017,,4,1778724905000,72188.70909316564,11388.742671288825
5,04,11,0411,,3,1778724905000,41182.81725213123,7092.678125702951
6,09,04,0904,,3,1778724905000,56868.49657266197,17069.994880370647
7,03,02,0302,,2,1778724905000,166783.264319854,35125.89687165408
8,14,05,1405,,6,1778724905000,28481.15211427922,8180.77322613788
9,08,02,0802,,3,1778724905000,71672.89114617038,11151.985482537924
10,12,05,1205,,4,1778724905000,138412.634554223,17592.907299977538
11,10,12,1012,,3,1778724905000,253714.4625368204,25931.981979487522
12,08,11,0811,,1,1778724905000,20346.36936656444,10187.149884646893
13,01,03,0103,,2,1778724905000,115178.32219379503,32874.11742791774
14,08,03,0803,,3,1778724905000,107888.3519030009,15822.919410537972
15,50,89,5089,,3,1778724905000,6999.025268862671,1896.453905016105
16,90,11,9011,,2,1778724905000,84032.11709791239,36175.259991455416
17,90,89,9089,,2,1778724905000,11174.041103293444,4511.078235042203
18,90,88,9088,,2,1778724905000,211.92319991838335,204.64670909533305
19,14,11,1411,,6,1778724905000,85171.52628343098,18968.58953267913
20,10,18,1018,,4,1778724905000,106827.83418027706,13049.39197216706
21,90,01,9001,,2,1778724905000,67453.32983881897,23205.66586593434
22,16,02,1602,,5,1778724905000,176094.4206360721,26590.8990965027
23,16,20,1620,,5,1778724905000,78048.32232947407,12499.939071785635
24,07,16,0716,,3,1778724905000,36259.53029332545,9963.19226049726
25,11,14,1114,,4,1778724905000,107670.33231381177,17093.48190942711
26,16,21,1621,,5,1778724905000,143650.40774649612,8935.535441135198
27,04,03,0403,,2,1778724905000,65774.49110959168,12588.164909695286
28,90,05,9005,,2,1778724905000,165700.93318381012,55464.85255918011
29,05,19,0519,,3,1778724905000,76314.07205882207,11220.338530496289
30,10,15,1015,,4,1778724905000,49021.366771646455,9164.71163857095
31,04,14,0414,,3,1778724905000,102455.20534433083,16346.832621412055
32,09,06,0906,,3,1778724905000,64297.68751673965,11240.73879341679
33,14,21,1421,,6,1778724905000,162636.09638596547,19853.771364666696
34,14,04,1404,,6,1778724905000,50402.904880941016,12765.704737610848
35,03,09,0309,,2,1778724905000,113922.91371720562,28725.857876804774
36,15,06,1506,,4,1778724905000,110967.39849124268,13335.814050841234
37,80,00,8000,,3,1778724905000,345929.62023202673,104718.30190240861
38,13,07,1307,,1,1778724905000,94782.93313309348,31661.795815024547
39,90,85,9085,,2,1778724905000,14281.060939991537,7328.879045090348
40,90,84,9084,,2,1778724905000,20415.924841872966,7033.632647035682
41,90,79,9079,,2,1778724905000,1945.62639833955,1630.64385876606
42,06,02,0602,,2,1778724905000,65021.114038592525,13900.603649581664
43,60,13,6013,,3,1778724905000,28611.467489643404,5287.470229587097
44,60,14,6014,,2,1778724905000,53128.0234253065,17230.86525949493
45,08,05,0805,,3,1778724905000,7472.667968643511,3296.562385026479
46,05,11,0511,,3,1778724905000,167589.1213250497,25120.695004703433
47,05,16,0516,,3,1778724905000,55115.56141199342,6349.480980052446
48,60,02,6002,,2,1778724905000,18085.50182304922,8249.976335717645
49,60,98,6098,,3,1778724905000,38392.90362330915,18814.931795713914
50,10,13,1013,,3,1778724905000,140192.30751466413,13807.465057169484
51,05,17,0517,,3,1778724905000,184714.19558628392,16171.080463141885
52,01,01,0101,,2,1778724905000,166737.0213240896,51975.17346024519
53,07,14,0714,,2,1778724905000,29974.88163676795,7871.684706145092
54,04,09,0409,,3,1778724905000,117605.59308346413,16606.7036112129
