FECHA_ENCUESTA;ID_HOGAR;ID_MUNICIPIO;NOM_MUNICIPIO;ID_MACROZONA;NOM_MACROZONA;ID_BARRIO;NOM_BARRIO;ESTRATO_EPM;ID_SIT;NOM_SIT;HOGARES_EN_VIVIENDA;MIEMBROS_HOGAR;MIEMBROS_PRESENTES;TIPO_VIVIENDA;DESC_TIPO_VIVIENDA;VIVIENDA_ES;DESC_VIVIENDA_ES;#CELDAS_PARQUEO;CELDA_PROPIA;CELDA_ALQUILADA;CELDAS_OTRO_TIPO;VEH_EN_HOGAR;TIPO_VEH_1;DES_TIPO_VEH_1;MODELO_VEH_1;MATRICULA_AMVA_VEH_1;DIGITO_PYP_1;TIPO_COMBUSTUBLE_1;DES_TIPO_COMBUSTUBLE_1;TIPO_VEH_2;DESC_TIPO_VEH_2;MODELO_VEH_2;MATRICULA_AMVA_VEH_2;DIGITO_PYP_2;TIPO_COMBUSTUBLE_2;DESC_TIPO_COMBUSTUBLE_2;TIPO_VEH_3;DESC_TIPO_VEH_3;MODELO_VEH_3;MATRICULA_AMVA_VEH_3;DIGITO_PYP_3;TIPO_COMBUSTUBLE_3;DESC_TIPO_COMBUSTUBLE_3;TIPO_VEH_4;DESC_TIPO_VEH_4;MODELO_VEH_4;MATRICULA_AMVA_VEH_4;DIGITO_PYP_4;TIPO_COMBUSTUBLE_4;DESC_TIPO_COMBUSTUBLE_4;TIPO_VEH_5;DESC_TIPO_VEH_5;MODELO_VEH_5;MATRICULA_AMVA_VEH_5;DIGITO_PYP_5;TIPO_COMBUSTUBLE_5;DESC_TIPO_COMBUSTUBLE_5;TIPO_VEH_6;DESC_TIPO_VEH_6;MODELO_VEH_6;MATRICULA_AMVA_VEH_6;DIGITO_PYP_6;TIPO_COMBUSTUBLE_6;DESC_TIPO_COMBUSTUBLE_6;TIPO_VEH_7;DESC_TIPO_VEH_7;MODELO_VEH_7;MATRICULA_AMVA_VEH_7;DIGITO_PYP_7;TIPO_COMBUSTUBLE_7;DESC_TIPO_COMBUSTUBLE_7
17/05/2017;156;129;Caldas;24;Urbana Caldas;00;;ESTRATO 2;606;CaldasUrbana Caldas;1;6;3;1;Casa;1;Propia;0;FALSO;FALSO;FALSO;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16/05/2017;616;129;Caldas;24;Urbana Caldas;00;.;ESTRATO 2;460;CaldasUrbana Caldas;1;5;3;1;Casa;2;Alquilada;1;FALSO;FALSO;VERDADERO;1;06;Moto 4 tiempos;2015;1;-;G;Gasolina;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12/05/2017;939;129;Caldas;24;Urbana Caldas;00;.;ESTRATO 2;459;CaldasUrbana Caldas;1;2;1;2;Apartamento;2;Alquilada;0;FALSO;FALSO;FALSO;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/05/2017;969;129;Caldas;24;Urbana Caldas;00;.;ESTRATO 2;459;CaldasUrbana Caldas;1;3;3;1;Casa;1;Propia;0;FALSO;FALSO;FALSO;1;02;Automóvil mediano 1300-1800cc;1987;1;0;G;Gasolina;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11/05/2017;1024;129;Caldas;24;Urbana Caldas;00;.;ESTRATO 3;459;CaldasUrbana Caldas;2;1;1;3;Otra;2;Alquilada;0;FALSO;FALSO;FALSO;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19/05/2017;1185;129;Caldas;24;Urbana Caldas;00;.;ESTRATO 2;461;CaldasUrbana Caldas;1;2;1;1;Casa;1;Propia;1;FALSO;FALSO;VERDADERO;1;02;Automóvil mediano 1300-1800cc;1983;1;0;G;Gasolina;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16/05/2017;1238;129;Caldas;24;Urbana Caldas;00;.;ESTRATO 2;462;CaldasUrbana Caldas;1;5;4;2;Apartamento;1;Propia;0;FALSO;FALSO;FALSO;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16/05/2017;1282;129;Caldas;24;Urbana Caldas;00;.;ESTRATO 2;462;CaldasUrbana Caldas;1;3;3;2;Apartamento;1;Propia;0;FALSO;FALSO;FALSO;1;06;Moto 4 tiempos;2017;1;-;G;Gasolina;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16/05/2017;1454;129;Caldas;24;Urbana Caldas;00;.;ESTRATO 2;460;CaldasUrbana Caldas;1;4;2;2;Apartamento;2;Alquilada;0;FALSO;FALSO;FALSO;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17/05/2017;1569;129;Caldas;24;Urbana Caldas;00;.;ESTRATO 2;461;CaldasUrbana Caldas;1;3;2;1;Casa;1;Propia;0;FALSO;FALSO;FALSO;1;09;Bicicleta sin motor;----;-;-;-;No responde;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
