rank,candidate_id,candidate_type,marginal_weighted_reduction,selection_score,scenario,scenario_label
1,cand_1997,sitva_node,14.680777535403868,0.9919875408337531,coverage_first,Coverage-first
2,cand_1502,sitva_node,11.633698552990126,0.9977006317550784,coverage_first,Coverage-first
3,cand_2493,sitva_node,9.926323018974937,0.9841758116485784,coverage_first,Coverage-first
4,cand_3020,sitva_node,8.401321996060302,0.9800518754316313,coverage_first,Coverage-first
5,cand_2787,sitva_node,7.472435245571542,0.9785491860297508,coverage_first,Coverage-first
6,cand_3116,sitva_node,6.499448816936035,0.9848951772806964,coverage_first,Coverage-first
7,cand_2244,sitva_node,4.92132739349848,0.9781583675514934,coverage_first,Coverage-first
8,cand_1998,sitva_node,3.3863569297016816,0.9943105695172886,coverage_first,Coverage-first
9,cand_2048,commercial_or_activity_anchor,2.556180103283321,0.9724967631720307,coverage_first,Coverage-first
10,cand_2292,sitva_node,1.8340548145895252,0.9693343180924702,coverage_first,Coverage-first
11,cand_2184,sitva_node,1.5028487563614712,0.9685769421466419,coverage_first,Coverage-first
12,cand_1897,sitva_node,1.1731806041452852,0.9724342699351342,coverage_first,Coverage-first
13,cand_2045,public_facility,0.9829726870565623,0.9675941869092346,coverage_first,Coverage-first
14,cand_1968,sitva_node,0.8535318339634674,0.976500890673414,coverage_first,Coverage-first
15,cand_2089,parking,0.6984999774266912,0.964691476348829,coverage_first,Coverage-first
16,cand_1149,sitva_node,0.5677226751276248,0.9785384168782821,coverage_first,Coverage-first
17,cand_1996,sitva_node,0.5124012627358997,0.9746195348005448,coverage_first,Coverage-first
18,cand_1896,public_facility,0.449943842075706,0.9733619592104492,coverage_first,Coverage-first
19,cand_0243,centrality,0.4017978191953855,0.931198672822713,coverage_first,Coverage-first
20,cand_2747,sitva_node,0.33949630198566294,0.9504342345071836,coverage_first,Coverage-first
1,cand_2229,fuel_station,11.643369387991642,0.9328521949674558,market_ready,Market-ready
2,cand_1874,fuel_station,10.287462405526558,0.9332963988525864,market_ready,Market-ready
3,cand_2231,fuel_station,8.560787435643492,0.9149186779703927,market_ready,Market-ready
4,cand_1999,fuel_station,7.625907781803186,0.8989767252113776,market_ready,Market-ready
5,cand_2183,fuel_station,5.869098239885663,0.886010375116854,market_ready,Market-ready
